location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,California,"Inyo County, CA",Relaxing,Social distancing,Adaptation and mitigation measures,Essential business (inclusive); Non essential business (inclusive),"Inyo county reopening guidelines (orange tier):  1. Restaurants: 50% capacity or 200 people 2. Bars: Open outdoors with modifications, indoor alcohol can be served with food following restaurant guidelines 3. Family Entertainment Centers (i.e. Bowling Alley): Open for naturally distanced activities with modifications 4. Gyms and Fitness Centers: 25% capacity with modifications, and indoor pools are allowed to open with modifications 5. Movie Theaters: 50% capacity or 200 people whichever is fewer, with modifications 6. All Retail: Increased capacity limit as long as modifications can be met 7. Hotels and Lodging: Fitness centers 25% capacity, and indoor pools open with modifications 8. Museums, Zoos and Aquariums – 50% capacity with modifications 9. Malls, Destination Centers and Swap Meets – Increased capacity limit as long as modifications can be met; common areas are still closed",2020-11-04,2020-11-04,Unspecified,2020-11-29,
Local,California,"Inyo County, CA",Restricting,Social distancing,Public service closures,Government/public buildings,"In light of the COVID-19 pandemic, Inyo County restricts walk-in services at several public offices. Full closure was applied to all campground as well as all County library branches.",2020-03-19,2020-03-19,Unspecified,Unspecified,Until further notice
Local,California,"Inyo County, CA",Restricting,Social distancing,Private sector closures,Non essential business (inclusive),"This order reinforces California's executive stay at home order N-33-20 by explicitly enforcing temporary closure of non-essential businesses.  Non-exhaustive list of businesses that will close in accordance with this order:  •	Gyms, health clubs, and other fitness facilities shall be closed. •	Pubs, bars, cocktail lounges, wineries, breweries, distilleries, tap rooms, and nightclubs shall be closed, except for venues that include meals provided by a full kitchen. Venues with a full kitchen shall adhere to restaurant guidance and provide only delivery or pickup options. •	Wineries, breweries, distilleries, and tap rooms that do not serve food or are not licensed to sell bottled or packaged alcohol for consumption off the licensed premises shall be closed. •	Movie theaters, live performance theaters, bowling alleys, gambling venues, hot springs, museums, arcades, and other attractions shall be closed. •	Restaurants shall be closed for seated dining, and should be open only to drive-through or other pick-up/delivery options.",2020-03-20,2020-03-20,Unspecified,2020-09-15,
Local,California,"Inyo County, CA",Restricting,Social distancing,Isolation,General population (inclusive),"All individuals who have been diagnosed with, or who are likely to have, COVID-19 must isolate themselves.",2020-03-27,2020-03-27,Unspecified,Unspecified,
Local,California,"Inyo County, CA",Restricting,Social distancing,Quarantine,General population (inclusive),"All household contacts, intimate partners, caregivers, and other individuals who have been in close contact with a person diagnosed with, or likely to have COVID-19, must quarantine themselves for 14-days.",2020-03-27,2020-03-27,Unspecified,Unspecified,
Local,California,"Inyo County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive),"All businesses operating during the COVID-19 must disallow any employee, agent, or contractor in the workplace if they are experiencing symptoms of COVID-19 and direct said employee to stay home and self-isolate as set forth in the Health Officer’s March 27th Order.",2020-03-31,2020-03-31,Unspecified,Unspecified,
Local,California,"Inyo County, CA",Restricting,Social distancing,School closures,Primary education; Secondary education,"In support with Inyo Public Health Director, Dr. James Richardson, County Superintendent, Barry Simpson has ordered closure of all schools in Inyo County for the remainder of the 2019-2020 school year.   *The closure has been extended to 2020-2021 as all school transition to a distance learning model for this school year.",2020-04-02,2020-04-03,2021-06-04,Unspecified,
Local,California,"Inyo County, CA",Restricting,Social distancing,Event delays or cancellations,General population (inclusive),"The fireworks shows in Bishop and Independence for 2020 will be modified to be “Stay at Home Shows”, meaning that no central viewing areas will be provided or available. Instead the public is encouraged to enjoy the 2020 fireworks shows with household members from their yards.",2020-06-15,2020-07-04,Unspecified,2020-07-04,
Local,California,"Inyo County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Essential business (inclusive); Non essential business (inclusive),"Inyo County Red Tier Assignment: restrictive measures  1. Restaurants – Reduced to 25% capacity or 100 people, whichever is fewer, with modifications 2. Bars – Closed. Bars serving food may operate and serve alcohol following restaurant guidelines 3. Personal Care Services – Open with Modifications 4. Family Entertainment Centers – Open for outdoor activities only with modifications; indoor activities (e.g. bowling alleys) are closed 5. Gyms and Fitness Centers –Reduced to 10% capacity with modifications 6. Movie Theaters –reduced to 25% capacity or 100 people whichever is fewer, with modifications 7. All Retail – Reduced to 50% indoor capacity 8. Places of Worship –Reduced to 25% capacity or 100 people, whichever is fewer, with modifications 9. Hotels and Lodging – Open with modifications; fitness centers reduced to 10% capacity, and indoor pools closed 10. Museums, Zoos and Aquariums – Reduced to 25% capacity with modifications 11. Malls, Destination Centers and Swap Meets – Reduced to 50% capacity with modifications, common areas closed and reduced capacity for food courts consistent with restaurant 12. Offices – Non-critical infrastructure offices moved to remote 13. Schools-remain open subject to local determination",2020-11-28,2020-11-29,Unspecified,Unspecified,
Local,California,"Kern County, CA",Relaxing,Social distancing,Adaptation and mitigation measures,General population (inclusive),"The Health Officer Order issued effective April 2, 2020 at 12:00 a.m. is rescinded. The Health Officer Order amended and reissued on April 16, 2020 at 12:00 a.m. remains in effect.",2020-05-02,2020-05-02,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Isolation,General population (inclusive),"All persons arriving in the country from international locations identified on the CDC Warning Level 2 or 3 Travel Advisory are subject to 14-day home quarantine and self-monitoring. Additionally, persons exhibiting mild to moderate symptoms of COVID-19 are to self isolate in their place of residence unless seeking medical treatment.",2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive),"All businesses shall enact social distancing, increased sanitation standards, and shall make every effort to use telecommuting to its workforce.",2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Private sector closures,Gym/workout facility/fitness center,All gyms and fitness centers shall be and shall remained closed.,2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Private sector closures,Restaurants/bars,"All bars, wineries, breweries, pubs and other business establishments that serve alcohol and do not serve food shall remain closed. All restaurants and other business establishments that serve food shall close all on-site dining, though delivery and pick-up or drive-thru is permitted with social distancing.",2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Stay at home,Older adults/individuals with underlying medical conditions,"All persons who are 65 years old or older, have a chronic underlying condition, or have a compromised immune system should self-quarantine themselves at home or in their place of residence.",2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),"All public or private ""gatherings"" are prohibited. A ""gathering"" is considered any event that brings together people in a single room or single space at the same time (with the exclusion of essential public transportation, airport travel, shopping at the store, or charitable food pantries).",2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Hospitals/urgent care/emergency medical services,"EMS personnel must wear respiratory protection for every EMS response. They also must institute a one-crew member ""scout"" procedure to determine the nature of the EMS contact and the appropriate level of PPE.",2020-04-14,2020-04-14,Unspecified,Unspecified,
Local,California,"Kern County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"All staff in health care facilities caring for suspected or confirmed COVID-19 patients must wear a respirator, eye protection, gloves and gowns. All staff in healthcare facilities must wear N95 respirators or higher level respirator while caring for suspected or confirmed COVID-19 patients when likely to engage in aerosol-generating procedures.",2020-04-16,2020-04-16,Unspecified,Unspecified,
Local,California,"Kings County, CA",Other,Contact tracing/Testing,Testing,General population (inclusive),"Kings County will launch a testing site in Hanford, CA. This new site is one of 80 testing sites powered through a partnership with OptumServe, the federal government health services business of Optum, a leading health services innovation company. Testing will be by appointment only through OptumServe directly. The County will release additional information when appointments become available.",2020-04-30,2020-05-04,Unspecified,Unspecified,
Local,California,"Kings County, CA",Other,Contact tracing/Testing,Testing,Farming/Agriculture/Food processing,"The Kings County Health Officer has determined that the recent outbreak of COVID-19 cases related to employees of Central Valley Meat Company is currently the top priority for the testing center. Individuals that are currently or were recently employed at the Central Valley Meat facility in Hanford, as well as their family members, should register to be tested immediate",2020-05-07,2020-05-07,Unspecified,Unspecified,
Local,California,"Kings County, CA",Other,Contact tracing/Testing,Testing,General population (inclusive),"Testing through the State’s contracted OptumServe site is now be open to the general public. Testing is free for all individuals, including those who are uninsured or undocumented, and results are confidential. Testing is available Monday through Friday, 8:00 AM to 5:00 PM (Address: 1520 Kings County Dr. Hanford, CA 93230)",2020-06-02,2020-06-02,Unspecified,Unspecified,
Local,California,"Kings County, CA",Other,Contact tracing/Testing,Testing,General population (inclusive),"Starting the week of June 8, testing will be available in Hanford, Lemoore, Corcoran, Avenal, Kettleman City, and Stratford on a rotating basis throughout each week. The schedule will be posted on the County’s website at www.kingscovidinfo.com.",2020-06-02,2020-06-08,Unspecified,Unspecified,
Local,California,"Kings County, CA",Other,Contact tracing/Testing,Testing,General population (inclusive),"The testing site at 1520 Kings County Drive in Hanford will change its hours to Tuesday to Saturday, 7:00 AM to 7:00 PM, starting the week of August 18, 2020. The adjustment was made to accommodate Kings County residents that are unable to seek testing Monday through Friday.",2020-08-14,2020-08-18,Unspecified,Unspecified,
Local,California,"Kings County, CA",Other,Contact tracing/Testing,Testing,General population (inclusive); Essential workers (inclusive),"Free mobile COVID-19 testing in Kings County will be provided starting Monday September 14.  The goal is to test as many essential workers and families as possible, to limit the spread of COVID-19 in these critical infrastructure workplaces and the surrounding community. Free COVID-19 scheduled tests and walk-ups will be accepted. Testing is available for adults and children ages 2 and above, Saturday – Thursday each week with hours adjusted depending on the location of the mobile site.",2020-09-11,2020-09-14,Unspecified,Unspecified,
Local,California,"Kings County, CA",Restricting,Social distancing,Public service closures,Public services; Public sector/government employees; Government/public buildings; Essential workers (inclusive),"Many essential government services / offices in the county are directed to continue their services without changes in hours or lobby opening status, these include:  Public Safety, Road Repair/ Road Side Litter Requests",2020-03-19,2020-03-19,Unspecified,Unspecified,The County’s mitigation program will be reevaluated regularly and will continue until further notice
Local,California,"Kings County, CA",Restricting,Social distancing,Public service closures,Public services; Public sector/government employees; Government/public buildings,"Many government services / offices in the county are directed to completely close and operate remotely, these include:   Administration Office & Natural Resources, Minors Advocacy, Behavioral Health & Recovery Services, Child Support Services, County Counsel, Elections, Finance Department and Property Tax Payments, 4-H Program, Human Resources, Human Services Agency, Libraries, Probation, Public Guardian/Veterans Services",2020-03-19,2020-03-19,Unspecified,Unspecified,The County’s mitigation program will be reevaluated regularly and will continue until further notice
Local,California,"Kings County, CA",Restricting,Social distancing,Public service closures,Public services; Public sector/government employees; Government/public buildings,"Many government services / offices in the county are directed to operate with limited hours and staff (including offices by appointment only), these include:  Agricultural Commissioner’s Office, Assessor’s Office, Clerk-Recorder’s Office, Community Development Agency, District Attorney, Finance Department and Property Tax Payments, Fire Administration Office, Job Training Office, Law Library, Public Health, Public Works and Surveyors Office",2020-03-19,2020-03-19,Unspecified,Unspecified,The County’s mitigation program will be reevaluated regularly and will continue until further notice
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"Signage shall be placed at each public entrance and throughout interior areas including customer service counters, elevators, lobbies, and employee work areas of County facilities to inform employees and the public.",2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"During the Public Health Emergency, if an employee comes to work sick, is symptomatic, or has a medical diagnosis of COVID-19, the responsible manager must immediately send the employee home to Shelter in Place in order to manage the risk to other employees and to the public.",2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"In the event an employee believes s/he has been exposed, s/he must quarantine up to 14 days and consult with his/her health care provider and follow medical advice.",2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"County employees should be provided the option to wear gloves and of course, reminded of the need for frequent hand washing.",2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"All non-essential travel, as defined by the Department Head, is canceled until further notice.",2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"If a face to face meeting outside the office is required for an employee, they are to call ahead to determine if the individual(s) to be contacted are symptomatic or to determine whether they had been in contact with a person with confirmed COVID-19.",2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"All County offices must supply Face Coverings, Disinfecting wipes or spray disinfectant and paper towels, Hand sanitizer, Gloves and Protective shields at customer service counters .",2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,All in person meetings should be avoided when possible. Meetings should be conducted electronically.,2020-05-19,2020-05-19,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"If a face to face meeting outside the office is required for an employee, they are to call ahead to determine if the individual(s) to be contacted are symptomatic or to determine whether they had been in contact with a person with confirmed COVID-19.",2020-06-16,2020-06-16,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,All in person meetings should be avoided when possible. Meetings should be conducted electronically.,2020-06-16,2020-06-16,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"All County offices must supply Face Coverings, Disinfecting wipes or spray disinfectant and paper towels, Hand sanitizer, Gloves and Protective shields at customer service counters .",2020-06-16,2020-06-16,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"Signage shall be placed at each public entrance and throughout interior areas including customer service counters, elevators, lobbies, and employee work areas of County facilities to inform employees and the public.",2020-06-16,2020-06-16,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"In the event an employee believes s/he has been exposed, s/he must quarantine up to 14 days and consult with his/her health care provider and follow medical advice.",2020-06-16,2020-06-16,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"During the Public Health Emergency, if an employee comes to work sick, is symptomatic, or has a medical diagnosis of COVID-19, the responsible manager must immediately send the employee home to Shelter in Place in order to manage the risk to other employees and to the public.",2020-06-16,2020-06-16,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"All County offices must supply Face Coverings, Disinfecting wipes or spray disinfectant and paper towels, Hand sanitizer, Gloves and Protective shields at customer service counters .",2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"During the Public Health Emergency, if an employee comes to work sick, is symptomatic, or has a medical diagnosis of COVID-19, the responsible manager must immediately send the employee home to Shelter in Place in order to manage the risk to other employees and to the public.",2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"Signage shall be placed at each public entrance and throughout interior areas including customer service counters, elevators, lobbies, and employee work areas of County facilities to inform employees and the public.",2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"If a face to face meeting outside the office is required for an employee, they are to call ahead to determine if the individual(s) to be contacted are symptomatic or to determine whether they had been in contact with a person with confirmed COVID-19.",2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"In the event an employee believes s/he has been exposed, s/he must quarantine up to 14 days and consult with his/her health care provider and follow medical advice.",2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,All in person meetings should be avoided when possible. Meetings should be conducted electronically.,2020-07-14,2020-07-14,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"All County offices must supply Face Coverings, Disinfecting wipes or spray disinfectant and paper towels, Hand sanitizer, Gloves and Protective shields at customer service counters .",2020-07-21,2020-07-21,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"If a face to face meeting outside the office is required for an employee, they are to call ahead to determine if the individual(s) to be contacted are symptomatic or to determine whether they had been in contact with a person with confirmed COVID-19.",2020-07-21,2020-07-21,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"Signage shall be placed at each public entrance and throughout interior areas including customer service counters, elevators, lobbies, and employee work areas of County facilities to inform employees and the public.",2020-07-21,2020-07-21,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,All in person meetings should be avoided when possible. Meetings should be conducted electronically.,2020-07-21,2020-07-21,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"During the Public Health Emergency, if an employee comes to work sick, is symptomatic, or has a medical diagnosis of COVID-19, the responsible manager must immediately send the employee home to Shelter in Place in order to manage the risk to other employees and to the public.",2020-07-21,2020-07-21,Unspecified,Unspecified,
Local,California,"Lake County, CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"In the event an employee believes s/he has been exposed, s/he must quarantine up to 14 days and consult with his/her health care provider and follow medical advice.",2020-07-21,2020-07-21,Unspecified,Unspecified,
Local,California,"Lake County, CA",Relaxing,Social distancing,Public service closures,Government/public buildings,Most County offices will reopen on 06/01/2020 in addition to continuing remote accessibility to the offices.,2020-06-01,2020-06-01,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"Testing Notice must be updated and circulated at least once per month, and at least two days prior to when diagnostic testing will be next provided. Each Skilled Nursing Facility must publicly display an up-to-date Testing Notice at its main entrance and furnish a copy via email in response to an inquiry from any member of the public, media or government agencies.",2020-05-04,2020-05-04,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"All Skilled Nursing Facilities located within the City of Los Angeles must offer their residents, employees and contractors diagnostic testing for the COVID-19 virus, free of charge and administered by trained personnel at least once every month.",2020-05-04,2020-05-04,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,All Skilled Nursing Facilities must hand deliver written notice to all residents and workers at each facility listing the dates in which diagnostic testing had been previously offered and the date that testing will next be available at their facility  (“Testing Notice”).,2020-05-04,2020-05-04,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Other forms of social distancing,Nursing homes/assisted living facility,"All organizations that are subject to this Order must also comply with the April 24, 2020 Order of the Los Angeles County Public Health Officer regarding Prevention of COVID-19 Transmission in Licensed Congregate Health Care Facilities.",2020-05-04,2020-05-04,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive),"Non-Essential Businesses. Businesses regarded under this Order as “non-essential” may be permitted to conduct minimum basic operations including inventory, security, custodial services, payroll and employee benefits processing, and any reasonable activity designed to maximize the ability for its employees to work remotely from their homes.",2020-07-16,2020-07-16,Unspecified,2020-08-07,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Safer at home,General population (inclusive),All persons living within the City of Los Angeles are ordered to remain in their homes.,2020-07-16,2020-07-16,Unspecified,2020-08-07,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Retail stores (not including food),"The owner, manager, or operator of any permitted retail business must implement the County’s Protocols for Retail Establishments Opening for In-person Shopping.",2020-07-16,2020-07-16,Unspecified,2020-08-07,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Safer at home,General population (inclusive),All persons living within the City of Los Angeles are ordered to remain in their homes.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive),"The owner, manager, or operator of any permitted auto dealer must implement the County’s Car Dealership Protocols.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Entertainment/concert venues/nightclubs,"Owners, managers or operators of professional sports leagues, teams and facilities must adopt the County’s Protocol for Professional Sports Leagues and Facilities Opening for Training Sessions and Spectator-Free Events.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; General population (inclusive),All outdoor shooting facilities must adopt the County’s Outdoor Shooting Facility Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Essential business (inclusive),"The owner, manager, or operator of any permitted warehouse business, any permitted logistics business, or any permitted manufacturing business must adopt the County’s Reopening Protocol for Warehousing, Manufacturing and Logistic Establishments.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"The owner, manager or operator of Outdoor Museums, Open Air Galleries, Botanical Gardens and other Outdoor Exhibition Spaces must adopt the County’s Protocols for Opening for Outdoor Museums and Galleries.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Essential business (inclusive),All operators and participants of substance use disorder and mental health support groups must adopt the County’s Substance Use Disorder and Mental Health Support Groups Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Churches/places of worship,"The owner, manager, or operator of a place of worship or faith-based organization hosting in-person services must adopt the County’s Protocol for Places of Worship Protocols.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Private sector; Non essential workers (inclusive); Entertainment/concert venues/nightclubs,"Studios, owners, managers, operators or participants in music, film or television production must adopt the County’s Reopening Protocol for Music, Television and Film Production.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Gym/workout facility/fitness center,"Owners, managers or operators of fitness facilities and gyms must adopt the County’s Reopening Protocol for Gyms and Fitness Establishments.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Transportation sector/shipping/logistics; Outdoor recreation or space,"Owners, managers or operators of businesses renting outdoor equipment for transportation or physical activity must adopt the County’s Protocols for Outdoor Equipment Rental Services.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; General population (inclusive),All visitors to bike parks must adopt the County’s Bike Park Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive),"The owner, manager, or operator of any business described in Paragraph 1 of the April 7, 2020 Worker Protection Order (Revised May 7, 2020), must prepare and post the County’s Social Distancing Protocol for each of their facilities within the City of Los Angeles.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; General population (inclusive),All visitors to model airplane areas must adopt the County’s Model Airplane Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,General population (inclusive); Outdoor recreation or space,All visitors to beaches must adopt the County’s Beach Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive),"Non-Essential Businesses. Businesses regarded under this Order as “non-essential” may be permitted to conduct minimum basic operations including inventory, security, custodial services, payroll and employee benefits processing, and any reasonable activity designed to maximize the ability for its employees to work remotely from their homes.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"The owner, manager or operator of hair salons and barbershops must adopt the County’s Reopening Protocols for Hair Salons and Barbershops.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; General population (inclusive),All visitors to equestrian centers must adopt the County’s Equestrian Centers Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"The operator of pools, hot tubs, and saunas that are in a multi-unit residence or part of a Homeowners’ Association must adopt the County’s Protocols for Reopening of Swimming Pools in Shared Residential Facilities.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Owners, managers or operators to campgrounds, TV parks and cabin rental units must adopt the County’s Reopening Protocol for Campgrounds, RV parks and Cabin Rental Units.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive),"The owner, manager, or operator of any permitted public and private golf courses must implement the County’s Golf Courses Protocols.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Personal care facilities,"Owners, managers or operators of personal care establishments must adopt the County’s Reopening Protocol for Personal Care Establishments.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive),"The owner, manager, or operator of shopping centers or malls must adopt the County’s Shopping Center Operators Protocol.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"The owner, manager or operator of small water vessel charters must adopt the County’s Protocols for Small Water Vessel Charters.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees; Government/public buildings,"Owners, managers or operators of libraries must adopt the County’s Protocols for Libraries Opening for Curbside Pickup.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive),"The owner, manager, or operator of a car wash must adopt the County’s Reopening Protocol for Car Washes.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; General population (inclusive),All visitors to community gardens must adopt the County’s Community Gardens Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive),"The owner, manager, or operator of any permitted retail business must implement the County’s Protocols for Retail Establishments Opening for In-person Shopping.",2020-08-07,2020-08-07,Unspecified,Unspecified,
