location_resolution,state,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
state,Connecticut,Relaxing,Social distancing,Mass gathering restrictions,General population (inclusive),"Executive Order Nos. 7D and 7N, are amended to permit social and recreational gatherings pursuant to distancing guidelines.",2020-06-16,2020-06-16,Unspecified,2020-10-08,
state,Connecticut,Relaxing,Social distancing,Private sector closures,Gym/workout facility/fitness center; Indoor recreation/sports facility,Executive Order No. 7D is partially repealed so that businesses subject to that order shall be permitted to operate pursuant to distancing guidelines.,2020-06-16,2020-06-16,2021-02-09,Unspecified,
state,Connecticut,Restricting,Social distancing,Private sector closures,Casinos/gambling facilities; Non essential business (inclusive),"Executive Order No. 7D, prohibiting operations at Off-Track Betting Facilities, is extended through 07/20/2020.",2020-06-16,2020-06-16,2021-02-09,Unspecified,
state,Connecticut,Relaxing,Social distancing,Distancing mandate,Childcare facilities (preschool or other daycare),"Executive Order No. 7Q, concerning population size in Child Care centers, is modified to enable the Commissioner of Early Childhood to modify or remove the limitation on the number of children permitted in one space within a child care facility.",2020-06-17,2020-06-17,2021-02-09,Unspecified,
state,Connecticut,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Retail stores (not including food),"Executive Order No. 7ZZ is modified in respect to Places of Public Amusement. Following such revisions Executive Order No. 7F, Section 2 is repealed. Places of Public Amusement, as defined by that order, shall be permitted to operate pursuant to the Department of Economic Community Development Sector Rules applicable to each business.",2020-06-17,2020-06-17,2021-02-09,Unspecified,
state,Connecticut,Other,Social distancing,Alternative election measures,General population (inclusive),Candidates withdrawing from the Presidential Primary may do so on a revised timeline.,2020-06-24,2020-06-24,2021-02-09,Unspecified,
state,Connecticut,Other,Social distancing,Quarantine,Suspected cases; Travelers,"All travelers entering Connecticut from a state with a positive test rate higher than 10 per 100,000 residents, or higher than a 10% test positivity rate over a seven-day rolling average, shall self-quarantine for a period of 14 days.",2020-06-24,2020-06-25,Unspecified,2020-07-21,
state,Connecticut,Restricting,Social distancing,Quarantine,Travelers,"Connecticut (simultaneously and in coordination with New York and New Jersey) required all travelers to quarantine for 14 days upon arrival if they are coming from a U.S. state with a large number of cases (test positivity rate >10% or >10 positive tests per 100,000 residents, both on a 7-day rolling average).",2020-06-24,2020-06-25,Unspecified,Unspecified,
state,Connecticut,Restricting,Social distancing,Quarantine,General population (inclusive); Travelers,"Executive Order No. 7BBB, Section 1, concerning an advisory of self-quarantine, is repealed.",2020-07-21,2020-07-21,2021-02-09,Unspecified,
state,Connecticut,Restricting,Social distancing,Quarantine,General population (inclusive); Travelers,"Any person who spends 24 hours within 14 days of entering the State of Connecticut in an “Affected State” with a positive test rate higher than 10 per 100,000 residents, or higher than a 10% test positivity rate over a seven-day rolling average, is subject to a 14-day mandatory quarantine.",2020-07-21,2020-07-21,2020-07-24,Unspecified,
state,Connecticut,Restricting,Social distancing,Quarantine,General population (inclusive); Travelers,"All Affected Travelers, prior to or upon arrival in Connecticut, shall complete a Travel Health Form requiring such persons to disclose (1) their name; (2) the last Affected State in which such Affected Traveler has spent twenty-four hours or longer; (3) last date of stay in such Affected State, date of arrival in Connecticut; (4) address of designated self-quarantine location in Connecticut; (5) length of stay; (6) address in home state; (7) cell phone number; (8) contact phone number while in Connecticut; (9) method of travel into Connecticut; and (10) information regarding accompanying minors.  minors",2020-07-21,2020-07-21,Unspecified,2020-09-27,
state,Connecticut,Other,Social distancing,Alternative election measures,General population (inclusive),An elector’s attestation on the inner envelope shall be interpreted to include the sickness of COVID-19 as an illness.,2020-08-10,2020-08-10,2021-02-10,Unspecified,
state,Connecticut,Other,Social distancing,Alternative election measures,General population (inclusive),"For the August 11, 2020 primary, election officials are authorized to accept and count absentee ballot sets issued pursuant to Executive Order No. 7QQ if either the outer or the inner envelope contains the following information: the elector’s name, an address, voting district, the date of the primary at which the ballot is to be cast, the name of the party holding the primary, and the serial number associated with the elector’s absentee ballot application. Absentee ballot sets postmarked on or before August 11, 2020 and delivered via U.S. mail to election officials on or before August 13, 2020 shall be counted and included in the totals provided by the head moderator for each municipality.",2020-08-10,2020-08-10,2021-02-10,Unspecified,
state,Connecticut,Other,Social distancing,Private sector closures,Restaurants/bars; Essential business (inclusive); Non essential business (inclusive),Executive Order No. 7MM and any approvals issued under it shall be extended through 11/12/2020.,2020-08-21,2020-08-21,Unspecified,2020-09-17,
state,Connecticut,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive),Sale of alcohol without food will continue to be prohibited.,2020-09-04,2020-09-04,2021-02-09,Unspecified,
state,Connecticut,Other,Social distancing,Adaptation and mitigation measures,General population (inclusive),"Pursuant to the emergency declarations issued on September 1, 2020, all executive orders issued pursuant to the public health and civil preparedness emergencies declared on March 10, 2020 and renewed on September 1, 2020 (COVID-19 Orders) that are unexpired and currently in effect as of the date of this order are hereby reissued.",2020-09-08,2020-09-08,2021-02-09,Unspecified,
state,Connecticut,Restricting,Social distancing,Quarantine,Travelers,"All Affected Travelers shall self-quarantine for a period of fourteen days from the time of last contact with such Affected State or such Affected Country, for any portion of such fourteen-day period they spend in Connecticut. An Affected Traveler is exempt from the self-quarantine requirement if he or she has had (1) a test with a negative result for COVID-19 in the seventy-two hours prior to arrival in Connecticut, and (2) such Affected Traveler submits written proof of such negative test result to the Commissioner or her designee; or if he or she is an essential worker.",2020-09-15,2020-09-15,2021-02-09,2020-12-18,
state,Connecticut,Other,Social distancing,Private sector closures,Restaurants/bars,Prohibition of the sale of alcohol without the sale of food is extended.,2020-09-25,2020-09-25,2021-02-09,Unspecified,
state,Connecticut,Relaxing,Social distancing,Mass gathering restrictions,Higher education; Primary education; Secondary education,“Drive-in” graduation ceremonies are permitted given that certain distancing guidelines are met.,2020-10-08,2020-10-08,2021-02-09,Unspecified,
state,Connecticut,Relaxing,Social distancing,Mass gathering restrictions,Churches/places of worship; Indoor recreation/sports facility,"Religious, spiritual, or worship gatherings, if held indoors, are limited to no more than 50 percent of the building’s capacity or a maximum of 200 people, whichever is lower.  Outdoor gathers may occur at any size so long as social distancing is enforced.",2020-10-08,2020-10-08,2021-02-09,Unspecified,
state,Connecticut,Restricting,Social distancing,Mass gathering restrictions,Public sector/government employees,"Municipal authorities are ordered to revert to the more restrictive pre-10/08/2020, size and capacity limitations and rules for certain businesses and gatherings if they report more than 15 cases per day.",2020-10-13,2020-10-15,Unspecified,2020-11-05,
state,Connecticut,Restricting,Social distancing,Mass gathering restrictions,Public sector/government employees,"Municipal authorities are ordered to revert to the more restrictive pre-10/08/2020, size and capacity limitations and rules for certain businesses and gatherings if they report more than 10 cases per day.",2020-10-29,2020-10-29,2021-02-09,Unspecified,
state,Connecticut,Other,Social distancing,Adaptation and mitigation measures,Restaurants/bars,"Executive Order No. 7D, concerning the prohibition of the sale of alcohol by certain permittees without the sale of food, shall remain is extended",2020-11-05,2020-11-06,2021-02-09,Unspecified,
state,Connecticut,Restricting,Social distancing,Mass gathering restrictions,General population (inclusive); Churches/places of worship,"All indoor gatherings, including religious, spiritual, or worship gatherings, are limited to no more than 50 % of the building’s capacity or a maximum of 100 people, whichever is smaller.",2020-11-05,2020-11-06,2021-02-09,Unspecified,
state,Connecticut,Other,Social distancing,Other forms of social distancing,General population (inclusive); Gym/workout facility/fitness center,"The Commissioner of Economic and Community Development is authorized to establish  mandatory rules for the safe conduct of sports, in consultation with the Commissioner of Public Health.",2020-11-20,2020-11-20,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive),"Large gatherings, if held, must allow 6 feet between individuals, adequate air flow, warm water and soap as well as hand sanitizer, signage that emphasize that ill individuals shall not attend and a process to manage an ill individual safely.",2020-03-12,2020-03-12,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Other forms of social distancing,Public sector/government employees,All state of Delaware employees able to telecommute shall telecommute.,2020-03-22,2020-03-24,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Other forms of social distancing,Hospitals/urgent care/emergency medical services; Nursing homes/assisted living facility,All medical certification of death are to be completed electronically.,2020-04-30,2020-05-01,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Alternative election measures,General population (inclusive),The presidential primary election scheduled for 06/02/2020 is rescheduled for 07/07/2020 in the State of Delaware. Local elections are also rescheduled.,2020-05-07,2020-05-07,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Retail stores (not including food); Outdoor recreation or space; Personal care facilities; Entertainment/concert venues/nightclubs,Enumerated non-essential businesses are permitted to begin activities with curbside pickup.  Other businesses may begin activities by appointment-only.,2020-05-07,2020-05-07,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Distancing mandate,Non essential business (inclusive); General population (inclusive); Outdoor recreation or space,The Tenth Modification to the State of Emergency Declaration is modified to allow multiple persons from the same household to drive a gold cart at golfing facilities.,2020-05-14,2020-05-14,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive),"Effective 05/15/2020, ice cream and custard shops may recommence services to provide goods for off-premise consumption.",2020-05-14,2020-05-15,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Distancing mandate,General population (inclusive); Outdoor recreation or space,"Effective 05/22/2020, those who have been in the State of Delaware for at least 14 days are permitted to attend the beach under the condition that they follow distancing guidelines. Beach goers over the age of 13 years are required to wear a face covering. Specific regulations regarding the precautions to be taken by cities, beach vendors and other businesses are listed.",2020-05-14,2020-05-22,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,General population (inclusive); Outdoor recreation or space,"Effective 05/22/2020, pools in the State of Delaware may recommence activities under the conditions of operating at 20% capacity. Swim lessons and swim teams may not recommence on-premise activities.",2020-05-14,2020-05-22,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive); General population (inclusive),"Effective 05/22/2020, consumer rental services, exempting beach goods, are permitted to recommence activities under the condition that distancing guidelines are followed.",2020-05-14,2020-05-22,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive),"Fifteenth Modification of the State of Emergency is modified to add that the florists, previously identified as a non-essential business, are permitted to recommence business activities on premise.",2020-05-22,2020-05-22,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive); General population (inclusive); Outdoor recreation or space,"Phase 1 Business Guidance allows for up to 30%  of stated fire occupancy residents. Arts and Culture, Museums, Galleries, and Historical Attractions may open at this capacity. Food and Drink Establishments may open at this capacity under certain conditions. Retail Establishments may open at this capacity. Malls may open at this capacity. Retail Establishments such as salons may open at this capacity under certain additional conditions. Realty may presume practice if no more than 10 persons are in a room at once. Casinos may open at 30% of stated fire occupancy residents. Parks and Recreation Facilities shall remain open under modified conditions.",2020-05-22,2020-05-22,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Quarantine,Travelers; Transportation sector/shipping/logistics; General population (inclusive),"The Seventh Modification to the COVID-19 State of Emergency declaration, concerning the out-of-state  traveler 14 day quarantine is stricken.",2020-05-31,2020-05-31,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive),"Paragraph 2 of the Ninth Modification to the COVID-19 State of Emergency declaration related to the operation of businesses, is stricken.",2020-05-31,2020-05-31,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Outdoor recreation or space; General population (inclusive),Campgrounds may reopen.,2020-05-31,2020-05-31,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Mass gathering restrictions,General population (inclusive); Outdoor recreation or space; Indoor recreation/sports facility,"Gatherings or events in fully unenclosed outdoor spaces, or tents, only as described below, of up to 250 persons. These events must follow enumerated guidelines and must notify the state of Delaware beforehand.",2020-05-31,2020-05-31,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Stay at home,General population (inclusive),"The Fifth Modification to the COVID-19 State of Emergency declaration, requiring Delawareans to shelter in place, is stricken.",2020-05-31,2020-05-31,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Churches/places of worship,The Eighteenth Modification to the COVID-19 State of Emergency declaration regarding houses of worship is hereby stricken in its entirety.,2020-05-31,2020-05-31,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Public service closures,Government/public buildings,"All public meetings of public bodies governed by 29 Del. C. §§10001 et seq. may be conducted in person in public buildings, provided that, (1) the total number of individuals permitted in a room at one time shall not exceed 30% of stated fire occupancy requirements; (2) a 6 foot distance between individuals is maintained; (3) attendees wear cloth face coverings . Public bodies are encouraged to conduct meetings electronically, either by means of telecommunication. Any in-person meeting must also provide a telephone or video conference option for any member of the public body or the public who does not wish to attend in person.",2020-05-31,2020-06-01,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),"Until 04/15/2020, all persons are prohibited from gathering indoors or in partially enclosed spaces in groups of 10 or more.",2020-05-31,2020-05-31,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Distancing mandate,General population (inclusive),"In the case of a speaker to an audience, if face coverings cannot be used the speaker must maintain a 13 foot distance from the audience.",2020-05-31,2020-06-01,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive); Gym/workout facility/fitness center; Churches/places of worship; Retail stores (not including food); Childcare facilities (preschool or other daycare),"The following business categories may continue operations or reopen subject to the responsibilities listed in the Phase 2 Reopen Plan: Arts and Culture, Museums, Galleries, and Historical Attractions; Food and Drink Establishments, Retail Establishments; Malls; Exercise Facilities; Realty; Casinos; Racetracks; Parks and Recreation Facilities; Child Care; Summer Camps; Youth Sports and Adult Recreational Sports; Commercial Lodging; Private Instruction; Campgrounds; Auction Houses; Houses of Worship; Swimming Facilities; Golf Courses; Convention Centers & Meeting Facilities; Ice Cream and Custard Shops; Commercial offices and residential buildings with at least 50 units.",2020-06-14,2020-06-15,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Mass gathering restrictions,General population (inclusive),"Gatherings or events of up to 250 people (e.g. weddings and receptions, graduations, funerals, etc.) are permitted in under the enumerated conditions. Larger gatherings are hereby prohibited at all locations and venues, except that hosts of large gatherings and events may apply to host a large gathering or event by submitting a plan to covid19faq@delaware.gov at least 7 days prior to the anticipated event.",2020-06-14,2020-06-15,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive),"“Minimum Social Distancing Requirements” means maintaining at least 6 foot social distancing from any individual who is not a member of the same household or a caregiver to someone in that household, washing hands with soap and water for at least twenty (20) seconds as frequently as possible or using hand sanitizer composed of at least sixty percent (60%) ethanol or 70% isopropanol, covering coughs or sneezes with something other than one’s hands (e.g., elbow, handkerchief), regularly cleaning high-touch surfaces, and not shaking hands.",2020-06-14,2020-06-15,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive); Indoor recreation/sports facility,"The following business categories may not continue operations or reopen in the Phase 2 Reopen Plan: Sporting facilities and venues; Indoor children’s play areas; Water parks, unless they can create a facility-specific plan to observe the industry guidance provided for water parks;",2020-06-14,2020-06-15,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive); Indoor recreation/sports facility ; Outdoor recreation or space; Gym/workout facility/fitness center,"Concerning Youth and Recreational Sports, sports may resume, provided that all players, staff, coaches, officials and spectators must comply with social distancing guidelines of 6 feet or more to the greatest extent possible and no tournaments are held. Tournaments may resume subject to organizers receiving prior approval of a tournament-specific plan by the Division of Public Health.",2020-06-19,2020-06-20,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive); Indoor recreation/sports facility,"Indoor children’s play areas may not operate, unless they can create a facility-specific plan to observe the industry guidance provided for indoor children’s play areas, including that that the total number of guests permitted in a facility at any one time shall not exceed 30% of that facility’s stated fire occupancy requirements.",2020-06-19,2020-06-22,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive); Indoor recreation/sports facility ; Older adults/individuals with underlying medical conditions,Personal care services may resume provided that the total number of guests permitted in an establishment at any one time shall not exceed 30% of that facility’s stated fire occupancy requirements.,2020-06-19,2020-06-22,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,Restaurants/bars; General population (inclusive),"Taprooms, brewpubs and restaurants may not permit patrons to sit or stand at a bar, but may open the bar to prepare drinks to be brought to diners seated at tables. Taprooms, brewpubs and restaurants that choose to use designated bar space for seating patrons must arrange tables consistent with the Phase 2 Reopen Plan to allow for minimum social distancing, as enumerated.",2020-06-30,2020-07-03,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Private sector closures,General population (inclusive); Non essential business (inclusive),"Personal driving schools and instruction may reopen, provided that at a maximum the vehicle may contain one adult and one student in front driver and passenger seats, and one additional person in the back seat. All occupants must wear face coverings at all times. Windows should be open as much as possible to help air exchange within the vehicle to reduce viral load.",2020-07-24,2020-07-24,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,School closures,Childcare facilities (preschool or other daycare); Primary education; Secondary education,Local education authorities will follow the school reopening instructions provided by the Delaware Department of Education.,2020-08-26,2020-08-26,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Mass gathering restrictions,Childcare facilities (preschool or other daycare); Primary education; Secondary education,"Effective 09/01/2020,  group sizes in child care homes and centers may increase from 15 to 25 for school age children, under the conditions that social distancing and mask-wearing procedures are met.",2020-08-26,2020-08-26,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Public service closures,Childcare facilities (preschool or other daycare); Primary education; Secondary education,"An initial in-person screening or WIDA Remote Screening assessment of English language proficiency shall be conducted as soon as practicable, but not later than 45 school days after enrollment and shall be conducted by qualified personnel trained in the administration of the assessment instrument.",2020-08-26,2020-08-26,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,Adaptation and mitigation measures,Childcare facilities (preschool or other daycare); Primary education; Secondary education,"In person educational settings must implement  preventative measures to mitigate the spread of COVID-19. This includes access to handwashing facilities and supplies and hand sanitizer, desk configuration, discontinuation of off-site field trips, health status and monitoring procedures, limited bus occupancy, modified requirements for in-person attendance,",2020-08-26,2020-08-26,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Other forms of social distancing,Indoor recreation/sports facility,"All youth and amateur adult sports facilities, organizations and leagues must review this document and follow all mandated terms for operation.",2020-09-01,2020-09-01,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Mass gathering restrictions,General population (inclusive),Social distancing and sanitary regulations to be upheld by both towns and beach-goers are enumerated.,2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility,Long term care facilities must implement enumerated measure to mitigate transmission of COVID-19 and to limit gathering sizes within facilities.,2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Mass gathering restrictions,Government/public buildings,"All public meetings of public bodies governed by may be conducted in person in public buildings, provided that (1) the total number of individuals permitted in a room at one time shall not exceed 60% of stated fire occupancy requirements; (2) a 6 foot radius around individuals is maintained, and (3) attendees wear face coverings. Public bodies are encouraged to conduct meetings electronically, either by means of telephone conference call or video conference call. Any in-person meeting must also provide a telephone or video conference option for any member of the public body or the public who does not wish to attend in person.",2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Adaptation and mitigation measures,Essential business (inclusive),"As part of phase two opening for the State of Delaware, businesses are responsible for upholding and enforcing social distancing and sanitation measures.",2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Mass gathering restrictions,Childcare facilities (preschool or other daycare),Group sizes in child care centers may increase from 15 to 25 for school age children (space  permitting).,2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Mass gathering restrictions,General population (inclusive),Gatherings and events of up to 250 people must comply with enumerated measures to mitigate transmission of COVID-19. Schools may apply to host a large gathering or event at the discretion of the Department of Education.,2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Mass gathering restrictions,Essential business (inclusive); Non essential business (inclusive),"As part of phase two opening for the State of Delaware, businesses must comply with the stated fire occupancy requirements (e.g. 30 to 60%). This includes salons, houses of worship, swimming facilities, golf courses, convention centers, ice-cream trucks, commercial offices and larger residential buildings, private instruction, campgrounds, auction houses, commercial lodging, personal driving schools, parks and recreation facilities, exercise facilities, retail establishments, and malls.",2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Other,Social distancing,Adaptation and mitigation measures,Primary education; Secondary education,"In person educational institutions must abide by enumerated sanitation and hygienic measures, such as accessible hand-washing stations and distanced placement of desks. Bus capacity must be limited by the number of students  that can be seated 3 or more feet apart on the school bus with face coverings.",2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Relaxing,Social distancing,School closures,Primary education; Secondary education,Local Education Agencies will follow the school reopening instructions provided by the Delaware Department of Education on its website.,2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Private sector closures,General population (inclusive),"Sporting facilities and venues, indoor children's play areas, and water parks may not pen during phase 2.",2020-09-03,2020-09-03,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Quarantine,General population (inclusive); Gym/workout facility/fitness center,"Effective 12/01/2020 at 8:00 a.m. E.D.T., any individual who participates in an out-of-state tournament or competition must immediately self-quarantine.",2020-12-10,2020-12-01,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Gym/workout facility/fitness center,"Effective 12/07/2020 at 8:00 a.m. E.D.T., and until further notice, tournaments plans may be submitted but will not be approved by DPH, except that tournaments having received prior approval from the Division of Public Health to play.",2020-12-10,2020-12-07,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Retail stores (not including food),"Under Phase 2, retail establishments of  5,000 sq. ft. or less may continue operations or reopen provided, however, that the total number of individuals within the retail establishment shall not exceed 40% of that facility’s stated fire occupancy requirements.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Safer at home,General population (inclusive),"From 12/14/2020 to 01/11/2021, unless expressly extended, Delaware residents are advised and strongly encouraged to stay home as often as possible and to only leave home to go to work or school, or for necessary needs such as seeking medical care, going to the grocery store or pharmacy, or picking up food.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,General population (inclusive); Non essential business (inclusive),"Under Phase 2, indoor gatherings or events at any business or indoor space open to the public may do so up to the lesser of 30% stated fire occupancy or ten 10 people.  This includes business offices.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Restaurants/bars,"Under Phase 2, the total number of guests permitted in a food court at any one time shall not exceed 20% of that facility’s stated fire occupancy requirements or 100 individuals, whichever is less. On-site premise consumption of food and beverages may not occur between the hours of 10 pm and 5 am.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Non essential business (inclusive); Retail stores (not including food),"Under Phase 2, businesses with less than 100,000 sq. ft. and retail establishments having 5,001 sq. ft. but no more than 100,000 sq. ft. may continue operations or reopen provided, however, that the total number of individuals within them shall not exceed 30% of that facility’s stated fire occupancy requirements.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Non essential business (inclusive); Retail stores (not including food),"Under Phase 2, all businesses, including retail establishments, having 100,001+ sq. ft. may  continue operations or reopen provided, however, that the total number of individuals within the business shall not exceed 20% of that facility’s stated fire occupancy requirements.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Gym/workout facility/fitness center,"Under Phase 2, group exercise classes are limited to a maximum of 10 individuals, excluding staff. Staff must be on-site to monitor patrons entering the facility, to ensure social distancing throughout the facility, and to ensure the use of face coverings in compliance with this order.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Churches/places of worship,"Under Phase 2, Houses of Worship may continue operations or reopen provided, however, that the total number of guests permitted in a House of Worship at any one time shall not exceed 40% of that House of Worship’s stated fire occupancy.",2020-12-10,2020-12-10,Unspecified,Unspecified,
state,Delaware,Restricting,Social distancing,Mass gathering restrictions,Gym/workout facility/fitness center,"All games, matches, and competitions are hereby suspended, except that any game, match, or competition that received approval from the Division of Public Health prior to 12/14/2020 is hereby granted an exception to the additional restrictions that became effective in this Modification. The maximum occupancy for any indoor practice is thirty percent (30%) of stated fire occupancy requirements, including athletes, coaches, and other employees or staff.",2020-12-10,2020-12-14,Unspecified,Unspecified,
state,District of Columbia,Other,Social distancing,School closures,Higher education,"The Office of Planning, Deputy Mayor for Education, and the Department of Health, are directed to implement a campus plan approval process for colleges and universities by July 1, 2020 to plan a safe reopening.",2020-05-27,2020-05-29,2020-07-01,2020-07-01,Duration of Public Health Emergency
state,District of Columbia,Relaxing,Social distancing,Public service closures,Outdoor recreation or space,"The Department of Parks and Recreation is authorized to reopen parks, dog parks, tennis courts, tracks, and fields. Indoor facilities, playgrounds, public pools, and recreation centers remain closed.",2020-05-27,2020-05-29,2020-07-24,Unspecified,Duration of Public Health Emergency
state,District of Columbia,Relaxing,Social distancing,Private sector closures,Personal care facilities,Barbershops and hair salons may provide services by appointment only. No waiting inside the shop is permitted. There may be one customer per worker. Customer stations must be at least six feet apart. Some close-contact services are prohibited.,2020-05-27,2020-05-29,2020-07-24,Unspecified,
state,District of Columbia,Relaxing,Social distancing,Adaptation and mitigation measures,Farming/Agriculture/Food processing,"Farmer's markets may request waivers to sell non-food items and food prepared on site, allow customers to select their own produce, and provide non-essential information and education.",2020-05-27,2020-05-29,2020-07-24,Unspecified,Duration of Public Health Emergency
state,District of Columbia,Relaxing,Social distancing,Stay at home,General population (inclusive),"Individuals living in, working in, and visiting the District are no longer ordered to stay in their residences as the District enters Phase One of reopening.",2020-05-27,2020-05-29,2020-07-24,Unspecified,Duration of Public Health Emergency
state,District of Columbia,Other,Social distancing,Alternative election measures,General population (inclusive),"This section outlines requirements/dates for absentee ballots and their requests (including overseas ballots), electronic petitions, and other election information. For the June 2, 2020, Primary Election, every registered qualified elector in DC will be mailed an absentee ballot application and a postage-paid return envelope. For the Primary Election and the June 16, 2020, Ward 2 Special Election, revised plans/polling places for those elections will be promoted.",2020-06-08,2020-06-09,Unspecified,2020-08-19,
state,District of Columbia,Other,Social distancing,Adaptation and mitigation measures,Housing sector,The owner of a housing accommodation must clean common areas of the facility on a regular basis.,2020-06-08,2020-06-09,Unspecified,2020-08-19,
state,District of Columbia,Other,Social distancing,Prison population reduction,Criminal justice system/prisons/jails/incarcerated persons,"Defendants may be awarded good time credits. If certain criteria are met, inmates may also be rewarded with compassionate release. Non-custodial arrest rules have also been made more flexible.",2020-06-08,2020-06-09,Unspecified,2020-08-19,
state,District of Columbia,Other,Social distancing,Adaptation and mitigation measures,Farming/Agriculture/Food processing,Farmer's markets operating under a waiver granted under Mayor's Order 2020-058 or 2020-067 are not affected by this order.,2020-06-19,2020-06-22,Unspecified,Unspecified,Duration of Public Health Emergency
